Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Australia,Southport,Genesis Cancer Care-Southport,2,0,0,0,2020.0,-27.9687807,153.4066696
Australia,Southport,Gold Coast Private Hospital - ROC Radiation Oncology Centres,1,0,0,0,2020.0,-27.9620043,153.3843099
Australia,Southport,ICON Cancer Centre Southport,3,0,0,0,2020.0,-27.9722227,153.4110924
Australia,Springfield,ICON Cancer Centre Springfield,1,0,0,0,2020.0,-27.6860429,152.9083202
Australia,Springfield,ROC Springfield - Radiation Oncology Centres,1,0,0,0,2018.0,-27.685910568693,152.908251895672
Australia,St Albans,Sunshine Hospital Radiation Therapy Centre (SHRTC) - Peter MacCallum Cancer Centre,2,0,0,0,2020.0,-37.7587771,144.818339
Australia,St. Leonards,Royal North Shore Hospital Radiation Oncology,3,0,0,2,2020.0,-33.8215624,151.1914566
Australia,Tiwi,Northern Territory Radiation Oncology,2,0,0,0,2020.0,-12.3505462133494,130.882984784604
Australia,Toowoomba,Radiation Oncology Centres Towoomba,3,0,0,0,2020.0,-27.5399335944552,151.934956824235
Australia,Townsville,The Townsville Hospital,3,0,0,0,2020.0,-19.3201821,146.7621782
Australia,Traralgon West,Gippsland Radiation Oncology,2,0,0,0,2020.0,-37.5831982,147.4627259
Australia,Tugun,Genesis Cancer Care John Flynn Hospital,2,0,0,0,2020.0,-28.1535176,153.4887366
Australia,Uraween,Genesis Cancer Care Hervey Bay,1,0,0,0,2020.0,-25.2881539,152.7676633
Australia,Wagga Wagga,Riverina Cancer Care Centre,2,0,0,0,2020.0,-35.1198064,147.3521749
Australia,Wahroonga,ICON Cancer Centre WahroongaSydney Adventist Hospital - ROC Radiation Oncology Centres,4,0,0,0,2020.0,-33.720133,151.1170049
Australia,Warrnambool,ICON Cancer Centre Warrnambool,1,0,0,0,2020.0,-38.3806322,142.4739996
Australia,Wembley,Perth Radiation Oncology,3,0,0,0,2020.0,-31.9513993,115.8616783
Australia,Westmead,Crown Princess Mary Cancer Centre - Westmead,4,0,0,0,2021.0,-33.8040914,150.9891844
Australia,Wodonga,"Radiation Oncology Victoria (ROV), Murray Valley Radiation Oncology Centre",1,0,0,0,2018.0,-36.9847807,143.3906074
Australia,Wollongong,Illawarra Shoalhaven Local Health District,4,0,0,0,2020.0,-34.4897544,150.8891201
Austria,Feldkirch,LKH-Feldkirch - Landeskrankenhaus Feldkirch,3,0,0,2,2018.0,47.2311043,9.58008
Austria,Graz,Medical University of Graz,8,0,1,1,2019.0,47.0802245,15.4696291
Austria,Innsbruck,Medical University Innsbruck,4,0,1,2,2018.0,47.2596796,11.386966
Austria,KLAGENFURT,Klinikum Klagenfurt am Woerthersee,3,0,1,1,2016.0,46.6355731,14.3071219
Austria,Krems an der Donau,Universitätsklinikum Krems,3,0,0,1,2018.0,48.4120312,15.6150193
Austria,Leoben,LKH Hochsteiermark Standort Leoben,1,0,0,0,2018.0,47.380312,15.0849876
Austria,Linz,Ordensklinikum Linz - Krankenhaus Barmherzige Schwestern Linz Betriebsgesellschaft m.b.H,8,0,0,1,2018.0,48.2988239,14.2894797
Austria,Salzburg,Universitätsklinik für Radiotherapie und Radio-Onkologie,4,0,1,1,2019.0,47.8064206315554,13.0290581716056
Austria,Vienna,Allgemeines Krankenhaus der Stadt Wien (AKH) / Medical University of Vienna,7,0,1,6,2019.0,48.2205992,16.3467881
Austria,Vienna,Krankenhaus Hietzing mit NZR,3,0,0,1,2018.0,48.1771051,16.2836579
Austria,Vienna,"SMZ Ost Vienna, Donauspital",4,0,1,2,2021.0,48.2186558,16.4640738
Austria,Vienna,Wilhelminenspital der Stadt Wien,2,0,1,1,2016.0,48.2123251,16.3011863
